Country,AC,BFI,BMM,CredC,DebC,RDP,DEP
Kenya,,7.56,0,32.43,6.78,0,5.38
"Korea, Rep.",21.86,26.89,82.08,7.16,10.11,20.86,1.64
Kosovo,53.09,39.69,79.2,45.88,20.93,22.42,1.8
Kuwait,56.74,0,,0,0,0,86.56
Kyrgyz Republic,0,58.88,80.08,13.77,7.23,22.7,58.88
Laos,12.88,0,33.17,0,0,0,0
Latin America & Caribbean,26.42,3.6,0,44.8,0,0,47.52
Latin America & Caribbean (excluding high income),0,0,97.38,0,39.51,39.32,0
Latvia,0,45.09,0,11.37,7.83,17.99,40.97
Lebanon,15.24,,1.33,2.13,5.7,28.76,11.2
Lesotho,51.58,6.59,1,0,86.44,87.59,0
Liberia,0,0,88.53,38.99,2.2,1.65,32.91
Libya,22.69,9.69,30.37,0,0,0,0
Lithuania,0,0,0,5.06,8.6,35.71,17.44
Low & middle income,0,1.47,89.31,28.86,1.16,24.58,38.44
Low income,24.35,82.47,33.02,0.04,0,0,58.66
Lower middle income,0,0,0.16,0,67.93,30.33,0
Luxembourg,7.19,3.47,41.8,0,0,0,0
Madagascar,0,0,0,87.33,0,0,6.92
Malawi,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0
Maldives,0,0,0,20.22,0,18.58,2.72
Mali,0.82,26.78,7.19,31.99,13.61,82.98,0
Malta,3.96,0.79,77.5,0,0,0,0
Mauritania,0,0,0,31.97,11.13,5.23,43.5
Mauritius,26.54,10.03,6.4,27.59,0,0,
Mexico,93.35,0,2.37,0,0,0,59.33
Middle East & North Africa,29.67,66.03,0,67.14,72.95,3.3,0
Middle East & North Africa (excluding high income),21.06,71,20.3,71.38,,0,11.61
Middle income,0,18.59,0,,30.95,29.52,13.17
Moldova,0,0,0,20.09,15.06,14.83,0
Mongolia,23.17,6.85,0,0,0,0,66.86
Montenegro,0,0,0,11.32,13.18,13.18,0
Morocco,45.58,3.54,64.25,35.48,2.99,31.86,8.09
Mozambique,31.86,82.54,60.6,0,0,0,87.21
Myanmar,0,0,0,0,33.93,5.05,0
Namibia,4.98,31.27,58.37,34.48,49.49,7.99,52.46
Nepal,6.6,38.63,4.91,47.79,,0,28.46
Netherlands,0,5.5,0,,14.99,56.38,17.32
New Zealand,23.4,27.32,20.96,32.22,43.28,54,12.2
Nicaragua,0,43.02,14.1,17.67,19.43,,5.41
Niger,0,23.81,0,76.06,0,69.86,0
Nigeria,96.87,0,60.38,0,57.21,0,0
North America,12.53,17.09,9.08,15.56,0,62.38,28.04
North Macedonia,26.03,12.18,0,2.89,11.92,10.19,44.83
Norway,,0,0,0,0,0,0
OECD members,2.14,31.58,11.65,0,23.26,,11.86
Oman,0,5.77,32.69,10.34,37.77,1.61,5.37
Pakistan,18.38,22.1,85.29,7.11,3.77,52.63,6.85
Panama,48.47,0,,0,0,0,98.89
Paraguay,0,0,88.49,0,0,0,0
Peru,0,17.61,0,24.11,1.07,21.78,13.55
Philippines,7.74,44.97,8.13,19.27,6.92,37.96,44.97
Poland,17.86,,5.72,3.05,6.22,23.35,3.72
Portugal,56.22,27.68,3.24,12.46,59.04,21.82,7.49
Puerto Rico,17.47,29.94,35.66,53.51,4.63,6.45,41.49
Qatar,34.48,28.5,14.18,1.64,0,0,27.58
Romania,0,0,0,0,1.09,86.12,0
Russia,0,38.54,1.97,0,0,0,0
Rwanda,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,57.12,4.67,0
Senegal,67.69,14.23,46.77,84.68,88.71,92.76,30.78
Serbia,1.27,2.76,61.88,0,0,0,0
Sierra Leone,0,0,0,40.63,0,66.61,0
Singapore,0.45,8.9,93.19,27.8,40.71,28.13,48.18
Slovakia,50.72,11.6,3.98,62.62,14.13,36.24,89.42
Slovenia,0,27.18,0,5.3,4.69,7.69,
Somalia,9.87,3.09,4.51,0,42.82,0,11.43
South Africa,97.19,88.18,93.81,34.41,31.45,31.45,0
South Asia,0,13.65,0,31.29,0,25.55,0
Sudan,47.82,1.05,0,31.46,0,0,82.86
Spain,0,0,97.62,0,0,0,0
Sri Lanka,0,0,0,18.99,2.96,10.96,0
Sub-Saharan Africa,41.26,0,11.26,0,3.71,0,0
Sub-Saharan Africa (excluding high income),72.37,22.35,1.64,17.12,45.87,36.55,56.52
Sudan,10.81,64.23,33.85,0,4.46,1.13,58.87
Sweden,1.13,4.28,0,0,97.93,51.91,17.47
Switzerland,51.91,97.93,0,87.08,89.27,0,0
Syrian Arab Republic,20.96,88.93,20.51,0,,0,3.06
"Taiwan, China",0,0,0,,0,99.22,0
Tajikistan,48.69,0,48.69,88.59,0,99.49,0
Tanzania,0,0,64.85,0,46,,0
Thailand,0,0,0,0,0,0,0
Togo,92.98,0,61.95,0,63.77,0,0
Trinidad and Tobago,39.49,12.42,0,2.19,15.4,19.89,30.83
Tunisia,,8.69,47.72,13.1,9.43,0.25,1.89
Turkey,19.63,0,97.68,0,0,22.61,0
Turkmenistan,0,8.19,49.61,56.95,34.97,7,5.93
Uganda,25.29,0,,0,0,0,0
Ukraine,0,31.53,0,13.67,7.96,48.79,31.23
United Arab Emirates,2.38,61.37,16.85,6.27,44.77,12.92,60.97
United Kingdom,58.87,0,46.62,0,0,0,0
United States,0,,0,7.87,10.44,25.26,8
Upper middle income,,47.36,0,84.23,0,0,0.65
Uruguay,51.86,30.58,3.51,0,77.22,58.54,0
Uzbekistan,3.46,0,69.58,57.71,6.52,0,51.66
Venezuela,5.33,17.9,4.35,0.18,0,0,52.76
Vietnam,0,0,0,0,0.34,95.43,0
West Bank and Gaza,0,66.7,0,3.43,86.92,2.92,42.01
World,63.75,0,95.45,0,0,58.63,0
Yemen,30.64,66.28,10.9,58.98,44.9,0.61,6.31
Zambia,32.82,19.08,16.26,0,78.21,2.89,0
Zimbabwe,80.88,8.8,67.3,0,0,0,0
